instance_id,n,budget,density,seed,solver,p,sweeps,num_reads,shots,maxiter,best_bitstring,selected,energy,exact_energy,gap,success_prob,wall_time_sec,transpile_time_sec,qpu_seconds,gamma_beta,note
n4_k2_d0.25_seed4,4,2,0.25,4,SA,,100.0,200.0,,,1100,2,0.9225539945480126,0.9225539945480108,1.9254773703197127e-15,0.21,0.002681899997696746,,,,ok
n4_k2_d0.25_seed4,4,2,0.25,4,SA,,1000.0,200.0,,,1100,2,0.9225539945480126,0.9225539945480108,1.9254773703197127e-15,0.21,0.014471399998001289,,,,ok
n4_k2_d0.25_seed4,4,2,0.25,4,SA,,5000.0,200.0,,,1100,2,0.9225539945480126,0.9225539945480108,1.9254773703197127e-15,0.27,0.06343990000459598,,,,ok
n4_k2_d0.25_seed4,4,2,0.25,4,SQA,,100.0,200.0,,,1100,2,0.9225539945480126,0.9225539945480108,1.9254773703197127e-15,0.19,0.02886220000073081,,,,ok
n4_k2_d0.25_seed4,4,2,0.25,4,SQA,,1000.0,200.0,,,1100,2,0.9225539945480126,0.9225539945480108,1.9254773703197127e-15,0.185,0.31838799999968614,,,,ok
n4_k2_d0.25_seed4,4,2,0.25,4,SQA,,5000.0,200.0,,,1100,2,0.9225539945480126,0.9225539945480108,1.9254773703197127e-15,0.23,1.5306277999989106,,,,ok
n4_k2_d0.25_seed4,4,2,0.25,4,QAOA_STATEVECTOR,1.0,,,none,60.0,1100,2,0.9225539945480108,0.9225539945480108,0.0,0.08870939363130681,0.14681949999794597,,,"{""gammas"": [3.458919274091508], ""betas"": [1.2623680730376978]}",optimizer_fun=8.487893
n4_k2_d0.25_seed4,4,2,0.25,4,QAOA_STATEVECTOR,2.0,,,none,60.0,1100,2,0.9225539945480108,0.9225539945480108,0.0,0.05266630034919654,0.2508774999951129,,,"{""gammas"": [3.023406721313337, 1.3686750433061996], ""betas"": [1.3708511585306575, 0.17233020870239657]}",optimizer_fun=7.562165
n4_k2_d0.25_seed4,4,2,0.25,4,QAOA_SHOT_SIM,1.0,,,1024,60.0,1100,2,0.9225539945480108,0.9225539945480108,0.0,0.0908203125,0.1354951000030269,,,"{""gammas"": [3.458919274091508], ""betas"": [1.2623680730376978]}",ok
n4_k2_d0.25_seed4,4,2,0.25,4,QAOA_SHOT_SIM,2.0,,,1024,60.0,1100,2,0.9225539945480108,0.9225539945480108,0.0,0.0546875,0.16750689999753376,,,"{""gammas"": [3.023406721313337, 1.3686750433061996], ""betas"": [1.3708511585306575, 0.17233020870239657]}",ok
n4_k2_d0.25_seed5,4,2,0.25,5,CPLEX_EXACT,,,,,,1001,2,0.4660571390066224,0.4660571390066224,0.0,1.0,0.20207310000114376,,,,ok
n4_k2_d0.25_seed5,4,2,0.25,5,SA,,100.0,200.0,,,1001,2,0.46605713900662415,0.4660571390066224,3.811457202836688e-15,0.21,0.00269059999845922,,,,ok
n4_k2_d0.25_seed5,4,2,0.25,5,SA,,1000.0,200.0,,,1001,2,0.46605713900662415,0.4660571390066224,3.811457202836688e-15,0.195,0.017830999997386243,,,,ok
n4_k2_d0.25_seed5,4,2,0.25,5,SA,,5000.0,200.0,,,1001,2,0.46605713900662415,0.4660571390066224,3.811457202836688e-15,0.24,0.06278259999817237,,,,ok
n4_k2_d0.25_seed5,4,2,0.25,5,SQA,,100.0,200.0,,,1001,2,0.46605713900662415,0.4660571390066224,3.811457202836688e-15,0.235,0.045763599999190774,,,,ok
n4_k2_d0.25_seed5,4,2,0.25,5,SQA,,1000.0,200.0,,,1001,2,0.46605713900662415,0.4660571390066224,3.811457202836688e-15,0.275,0.3470216999994591,,,,ok
n4_k2_d0.25_seed5,4,2,0.25,5,SQA,,5000.0,200.0,,,1001,2,0.46605713900662415,0.4660571390066224,3.811457202836688e-15,0.25,1.7134288000015658,,,,ok
n4_k2_d0.25_seed5,4,2,0.25,5,QAOA_STATEVECTOR,1.0,,,none,60.0,1001,2,0.4660571390066224,0.4660571390066224,0.0,0.03106884280062755,0.21287060000031488,,,"{""gammas"": [2.488368161680017], ""betas"": [1.8540595486477718]}",optimizer_fun=6.741564
n4_k2_d0.25_seed5,4,2,0.25,5,QAOA_STATEVECTOR,2.0,,,none,60.0,1001,2,0.4660571390066224,0.4660571390066224,0.0,0.13040206282485972,0.25487599999905797,,,"{""gammas"": [3.7332524907540723, 3.3705040671336444], ""betas"": [1.418839724302192, 0.45577532784941327]}",optimizer_fun=8.065016
n4_k2_d0.25_seed5,4,2,0.25,5,QAOA_SHOT_SIM,1.0,,,1024,60.0,1001,2,0.4660571390066224,0.4660571390066224,0.0,0.0361328125,0.14353169999958482,,,"{""gammas"": [2.488368161680017], ""betas"": [1.8540595486477718]}",ok
n4_k2_d0.25_seed5,4,2,0.25,5,QAOA_SHOT_SIM,2.0,,,1024,60.0,1001,2,0.4660571390066224,0.4660571390066224,0.0,0.1416015625,0.17780159999529133,,,"{""gammas"": [3.7332524907540723, 3.3705040671336444], ""betas"": [1.418839724302192, 0.45577532784941327]}",ok
n4_k2_d0.5_seed1,4,2,0.5,1,CPLEX_EXACT,,,,,,0101,2,0.6045127555620127,0.6045127555620127,0.0,1.0,0.17617790000076639,,,,ok
n4_k2_d0.5_seed1,4,2,0.5,1,SA,,100.0,200.0,,,0101,2,0.6045127555620144,0.6045127555620127,2.9384935604026747e-15,0.2,0.0025361000007251278,,,,ok
n4_k2_d0.5_seed1,4,2,0.5,1,SA,,1000.0,200.0,,,0101,2,0.6045127555620144,0.6045127555620127,2.9384935604026747e-15,0.195,0.011962999997194856,,,,ok
n4_k2_d0.5_seed1,4,2,0.5,1,SA,,5000.0,200.0,,,0101,2,0.6045127555620144,0.6045127555620127,2.9384935604026747e-15,0.195,0.05781149999529589,,,,ok
n4_k2_d0.5_seed1,4,2,0.5,1,SQA,,100.0,200.0,,,0101,2,0.6045127555620144,0.6045127555620127,2.9384935604026747e-15,0.165,0.029786800005240366,,,,ok
n4_k2_d0.5_seed1,4,2,0.5,1,SQA,,1000.0,200.0,,,0101,2,0.6045127555620144,0.6045127555620127,2.9384935604026747e-15,0.15,0.3036026999980095,,,,ok
n4_k2_d0.5_seed1,4,2,0.5,1,SQA,,5000.0,200.0,,,0101,2,0.6045127555620144,0.6045127555620127,2.9384935604026747e-15,0.195,1.621869599999627,,,,ok
n4_k2_d0.5_seed1,4,2,0.5,1,QAOA_STATEVECTOR,1.0,,,none,60.0,0101,2,0.6045127555620127,0.6045127555620127,0.0,0.05739621924438931,0.12418269999761833,,,"{""gammas"": [2.129784781216547], ""betas"": [1.4095565012081253]}",optimizer_fun=9.670216
n4_k2_d0.5_seed1,4,2,0.5,1,QAOA_STATEVECTOR,2.0,,,none,60.0,0101,2,0.6045127555620127,0.6045127555620127,0.0,0.06905457544686837,0.24291269999957876,,,"{""gammas"": [1.6472876649216894, 2.8784351948077957], ""betas"": [0.2680488948559838, 1.9826518125519859]}",optimizer_fun=4.941146
n4_k2_d0.5_seed1,4,2,0.5,1,QAOA_SHOT_SIM,1.0,,,1024,60.0,0101,2,0.6045127555620127,0.6045127555620127,0.0,0.0673828125,0.12926889999653213,,,"{""gammas"": [2.129784781216547], ""betas"": [1.4095565012081253]}",ok
n4_k2_d0.5_seed1,4,2,0.5,1,QAOA_SHOT_SIM,2.0,,,1024,60.0,0101,2,0.6045127555620127,0.6045127555620127,0.0,0.0693359375,0.17976240000280086,,,"{""gammas"": [1.6472876649216894, 2.8784351948077957], ""betas"": [0.2680488948559838, 1.9826518125519859]}",ok
n4_k2_d0.5_seed2,4,2,0.5,2,CPLEX_EXACT,,,,,,0110,2,0.37828210007295837,0.37828210007295837,0.0,1.0,0.23849499999778345,,,,ok
n4_k2_d0.5_seed2,4,2,0.5,2,SA,,100.0,200.0,,,0110,2,0.3782821000729566,0.37828210007295837,-4.695852219964013e-15,0.2,0.0026846999971894547,,,,ok
