solver,instance_id,n,p,energy,gap,success_prob,wall_time,qpu_seconds
CPLEX,n4_k2_d0.25_seed1,4,,0.6045127555620127,0.0,1.0,0.23722429999907035,
CPLEX,n4_k2_d0.25_seed2,4,,0.30185441825729953,0.0,1.0,0.07286410000233445,
CPLEX,n4_k2_d0.25_seed3,4,,0.06135413687392344,0.0,1.0,0.05613850000372622,
CPLEX,n6_k3_d0.25_seed1,6,,0.2775567948639974,0.0,1.0,0.0473954999979469,
CPLEX,n6_k3_d0.25_seed2,6,,0.09281392309021186,0.0,1.0,0.04684129999805009,
CPLEX,n6_k3_d0.25_seed3,6,,0.3818469882206159,0.0,1.0,0.07841999999800464,
CPLEX,n8_k4_d0.25_seed1,8,,0.4370002204909227,0.0,1.0,0.26916540000092937,
CPLEX,n8_k4_d0.25_seed2,8,,1.0171073819696659,0.0,1.0,0.0793026999963331,
CPLEX,n8_k4_d0.25_seed3,8,,1.080469573459279,0.0,1.0,0.12290199999551987,
CPLEX,n10_k5_d0.25_seed1,10,,1.0170781161139502,0.0,1.0,0.21434059999592137,
CPLEX,n10_k5_d0.25_seed2,10,,1.077053011640757,0.0,1.0,0.359288400002697,
CPLEX,n10_k5_d0.25_seed3,10,,1.2902156576516504,0.0,1.0,0.25617680000141263,
CPLEX,n12_k6_d0.25_seed1,12,,0.7526917420976709,0.0,1.0,0.2443113000044832,
CPLEX,n12_k6_d0.25_seed2,12,,1.099693001253545,0.0,1.0,0.07846820000122534,
CPLEX,n12_k6_d0.25_seed3,12,,0.7943512510812489,0.0,1.0,0.041623500001151115,
SA,n4_k2_d0.25_seed1,4,,0.6045127555620144,2.9384935604026747e-15,0.2,0.014586299999791663,
SA,n4_k2_d0.25_seed2,4,,0.30185441825729775,-5.88481311506294e-15,0.205,0.01121640000201296,
SA,n4_k2_d0.25_seed3,4,,0.06135413687392344,0.0,0.26,0.012782799996784888,
SA,n6_k3_d0.25_seed1,6,,0.27755679486398677,-3.8399856294723325e-14,0.05,0.015204200004518498,
SA,n6_k3_d0.25_seed2,6,,0.09281392309021186,0.0,0.025,0.014318400004412979,
SA,n6_k3_d0.25_seed3,6,,0.38184698822061947,9.30402435634214e-15,0.055,0.019655199997941963,
SA,n8_k4_d0.25_seed1,8,,0.4370002204909298,1.6259550966859512e-14,0.04,0.06872479999583447,
SA,n8_k4_d0.25_seed2,8,,1.0171073819696232,-4.1915499682095e-14,0.035,0.023999799996090587,
SA,n8_k4_d0.25_seed3,8,,1.0804695734593182,3.616932066091018e-14,0.03,0.03193689999898197,
SA,n10_k5_d0.25_seed1,10,,1.0170781161139537,3.4930588147690186e-15,0.015,0.03508449999935692,
SA,n10_k5_d0.25_seed2,10,,1.077053011640782,2.3089853036777333e-14,0.01,0.032765700001618825,
SA,n10_k5_d0.25_seed3,10,,1.2902156576516504,0.0,0.02,0.03426639999815961,
SA,n12_k6_d0.25_seed1,12,,0.8726717672558415,0.1594012773725924,0.01,0.03987519999645883,
SA,n12_k6_d0.25_seed2,12,,1.3455229290887516,0.2235441414603747,0.01,0.04204500000196276,
SA,n12_k6_d0.25_seed3,12,,0.9658473865215491,0.21589458719535518,0.005,0.044703199993819,
SQA,n4_k2_d0.25_seed1,4,,0.6045127555620144,2.9384935604026747e-15,0.18,0.3252001000000746,
SQA,n4_k2_d0.25_seed2,4,,0.30185441825729775,-5.88481311506294e-15,0.165,0.32319750000169734,
SQA,n4_k2_d0.25_seed3,4,,0.06135413687392344,0.0,0.19,0.3223485999988043,
SQA,n6_k3_d0.25_seed1,6,,0.27755679486398677,-3.8399856294723325e-14,0.065,0.6096949999991921,
SQA,n6_k3_d0.25_seed2,6,,0.09281392309021186,0.0,0.06,0.6412645000018529,
SQA,n6_k3_d0.25_seed3,6,,0.38184698822061947,9.30402435634214e-15,0.05,0.6740535999997519,
SQA,n8_k4_d0.25_seed1,8,,0.4370002204909298,1.6259550966859512e-14,0.01,1.0953222999960417,
SQA,n8_k4_d0.25_seed2,8,,1.0171073819696232,-4.1915499682095e-14,0.01,1.0293012999973143,
SQA,n8_k4_d0.25_seed3,8,,1.0804695734593182,3.616932066091018e-14,0.005,1.0512087999959476,
SQA,n10_k5_d0.25_seed1,10,,1.0170781161139537,3.4930588147690186e-15,0.01,1.5642182000010507,
SQA,n10_k5_d0.25_seed2,10,,1.077053011640782,2.3089853036777333e-14,0.01,1.7572376999960397,
SQA,n10_k5_d0.25_seed3,10,,1.2902156576516504,0.0,0.015,1.7523422000012943,
SQA,n12_k6_d0.25_seed1,12,,1.0262344485577906,0.3634193005728821,0.005,2.4685803999964264,
SQA,n12_k6_d0.25_seed2,12,,1.0996930012535913,4.199833751034125e-14,0.01,2.3520315999994637,
SQA,n12_k6_d0.25_seed3,12,,1.1255943125713905,0.41699822470130526,0.005,2.36424260000058,
QAOA_SV,n4_k2_d0.25_seed1,4,1.0,0.6045127555620127,0.0,0.056810590747706634,0.1345895000049495,
QAOA_SV,n4_k2_d0.25_seed1,4,2.0,0.6045127555620127,0.0,0.1045848758696146,0.27289610000298126,
QAOA_SV,n4_k2_d0.25_seed1,4,3.0,0.6045127555620127,0.0,0.11501564657779148,0.200700000001234,
QAOA_SV,n4_k2_d0.25_seed2,4,1.0,0.30185441825729953,0.0,0.13466190802035982,0.15007409999816446,
QAOA_SV,n4_k2_d0.25_seed2,4,2.0,0.30185441825729953,0.0,0.13897515967611365,0.3015298999962397,
QAOA_SV,n4_k2_d0.25_seed2,4,3.0,0.30185441825729953,0.0,0.08104145595765012,0.28341809999983525,
QAOA_SV,n4_k2_d0.25_seed3,4,1.0,0.06135413687392344,0.0,0.14620199891616503,0.18971910000254866,
QAOA_SV,n4_k2_d0.25_seed3,4,2.0,0.06135413687392344,0.0,0.059148275635462134,0.2883109000031254,
QAOA_SV,n4_k2_d0.25_seed3,4,3.0,0.06135413687392344,0.0,0.09403788989997074,0.3520624000011594,
QAOA_SV,n6_k3_d0.25_seed1,6,1.0,0.2775567948639974,0.0,0.01345370935070296,0.4751810999950976,
QAOA_SV,n6_k3_d0.25_seed1,6,2.0,0.2775567948639974,0.0,0.043925698672197,0.25655949999782024,
QAOA_SV,n6_k3_d0.25_seed1,6,3.0,0.2775567948639974,0.0,0.02981720954548049,0.6349829000027967,
QAOA_SV,n6_k3_d0.25_seed2,6,1.0,0.09281392309021186,0.0,0.0399004124815974,0.28601570000319043,
QAOA_SV,n6_k3_d0.25_seed2,6,2.0,0.09281392309021186,0.0,0.025632158289820052,0.4749803000013344,
